timestamp,lat_grid,lon_grid,traffic_volume,number_vehicle,type_score,violation_score,TrafficLive_score,final_score,score_count
2026-06-18T10:43:29.998509,12.8,77.7,13308.002738095236,3.07,1.625,12.112368421052631,0.12,1.1177511347744358,5
2026-06-18T10:43:29.998509,12.805,77.69500000000001,13308.002738095236,5.13,1.4983333333333335,13.374736842105262,0.12,1.1344088540726815,5
2026-06-18T10:43:29.998509,12.81,77.69,13308.002738095236,2.74,1.6945,10.17811962441536,0.12,1.0729636708753179,5
2026-06-18T10:43:29.998509,12.815,77.685,12327.776607142856,2.13,1.5,9.979623944501995,0,0.9734820165493454,5
2026-06-18T10:43:29.998509,12.815,77.69,13308.002738095236,2.23,1.6945,9.700252560923293,0.12,1.0576076589705559,5
2026-06-18T10:43:29.998509,12.82,77.68,12327.776607142856,2.17,1.675,11.685625,0.2,1.0997420482142857,5
2026-06-18T10:43:29.998509,12.82,77.685,12327.776607142856,2.49,1.565,9.988175599508097,0.2,1.0274585661995286,5
2026-06-18T10:43:29.998509,12.825000000000001,77.68,12327.776607142856,2.59,1.65,11.104448529411766,0,1.0381467540966387,5
2026-06-18T10:43:29.998509,12.83,77.675,12327.776607142856,1.85,2.065,11.70475543478261,0.12,1.1616759612577638,5
2026-06-18T10:43:29.998509,12.83,77.68,12327.776607142856,1.9,1.81,11.465625,0,1.0796020482142856,5
2026-06-18T10:43:29.998509,12.835,77.65,12327.776607142856,3.08,2.0096666666666665,8.64638241758242,0,1.0373181040750916,5
2026-06-18T10:43:29.998509,12.835,77.655,12327.776607142856,3.13,2.0126666666666666,6.99055900621118,0,0.9883434017339543,5
2026-06-18T10:43:29.998509,12.835,77.66,12327.776607142856,2.18,2.0296666666666665,6.317416149068323,0,0.9696491160196686,5
2026-06-18T10:43:29.998509,12.835,77.675,12327.776607142856,1.94,2.025,6.996905974460321,0.12,1.0126204774480954,5
2026-06-18T10:43:29.998509,12.835,77.68,12327.776607142856,1.98,1.55,7.038160155062328,0,0.8949381028661556,5
2026-06-18T10:43:29.998509,12.84,77.58500000000001,26106.390876984122,2.9,3.036166666666666,10.919821428571431,0.1176,1.7473397024999997,5
2026-06-18T10:43:29.998509,12.84,77.635,24999.094754960308,3.3,1.4497499999999999,6.421104078117664,0,1.2391559649923392,5
2026-06-18T10:43:29.998509,12.84,77.64,24999.094754960308,3.39,1.4485,6.5028055349561065,0,1.2415370086974924,5
2026-06-18T10:43:29.998509,12.84,77.645,24999.094754960308,20.55,1.6176666666666666,6.036848199023199,0,1.2957116219528384,5
2026-06-18T10:43:29.998509,12.84,77.65,12327.776607142856,3.17,1.6583333333333332,8.776382417582418,0,0.9711314374084249,5
2026-06-18T10:43:29.998509,12.84,77.655,12327.776607142856,3.16,1.674333333333333,6.990768796420969,0,0.9207430287735814,5
2026-06-18T10:43:29.998509,12.84,77.66,12327.776607142856,2.0,1.6896666666666669,6.317496069148242,0,0.9012915136220663,5
2026-06-18T10:43:29.998509,12.84,77.67,12327.776607142856,1.9,1.6566666666666663,6.248570994223168,0,0.8924237613743139,5
2026-06-18T10:43:29.998509,12.84,77.675,12327.776607142856,4.85,1.715,7.177827607175426,0.12,0.9618681264295483,5
2026-06-18T10:43:29.998509,12.84,77.685,12327.776607142856,2.08,1.275,9.51331335331335,0.1111,0.9366126988136861,5
2026-06-18T10:43:29.998509,12.845,77.58500000000001,26106.390876984122,1.16,3.036166666666666,14.940863095238099,0,1.8409709525,5
2026-06-18T10:43:29.998509,12.845,77.645,24999.094754960308,4.81,1.5306666666666666,6.208975335775336,0.1923,1.2904554360554024,5
2026-06-18T10:43:29.998509,12.845,77.65,12327.776607142856,5.03,1.5159999999999996,8.940972161172162,0,0.9513224630494503,5
2026-06-18T10:43:29.998509,12.845,77.655,12327.776607142856,6.22,1.5319999999999998,6.99157960723178,0,0.898420686431239,5
2026-06-18T10:43:29.998509,12.845,77.665,12327.776607142856,2.44,1.5873333333333335,6.217682882335056,0,0.878710451351004,5
2026-06-18T10:43:29.998509,12.845,77.67,12327.776607142856,2.34,1.5413333333333332,6.198955609607783,0,0.8687486331691857,5
2026-06-18T10:43:29.998509,12.845,77.68,12327.776607142856,2.07,1.1866666666666665,7.010550319245966,0,0.8216231411249979,5
2026-06-18T10:43:29.998509,12.85,77.58500000000001,26106.390876984122,1.16,3.036166666666667,6.4590476190476185,0,1.5865164882142855,5
2026-06-18T10:43:29.998509,12.85,77.655,12327.776607142856,9.09,1.48,7.3185569002090745,0,0.903570005220558,5
2026-06-18T10:43:29.998509,12.85,77.66,12327.776607142856,3.36,1.510333333333333,7.801805759457932,0,0.9126741376646903,5
2026-06-18T10:43:29.998509,12.85,77.665,12327.776607142856,2.6,1.5653333333333337,6.784849715501889,0,0.891645456346009,5
2026-06-18T10:43:29.998509,12.85,77.67,12327.776607142856,2.51,1.5443333333333333,6.997551014203185,0,0.8936464953070479,5
2026-06-18T10:43:29.998509,12.855,77.525,21480.44295833334,1.2,1.5125,8.093018207282906,0.1667,1.225443834968487,5
2026-06-18T10:43:29.998509,12.855,77.565,21480.44295833334,1.33,1.6574166666666665,6.50104761904762,0,1.173588050654762,5
2026-06-18T10:43:29.998509,12.855,77.58500000000001,26106.390876984122,1.33,0.8753333333333336,6.405714285714286,0.1176,1.1766098215476188,5
2026-06-18T10:43:29.998509,12.855,77.59,24392.39697321428,1.56,0.6471666666666666,6.2457142857142856,0.1176,1.0752166711011901,5
2026-06-18T10:43:29.998509,12.855,77.645,24999.094754960308,4.66,1.7030833333333333,7.589934197934197,0.2222,1.3720475352535018,5
2026-06-18T10:43:29.998509,12.855,77.66,12327.776607142856,3.47,1.5050000000000003,14.494476190476188,0,1.1126075839285714,5
2026-06-18T10:43:29.998509,12.855,77.665,12327.776607142856,2.67,1.682,13.792948717948716,0,1.1253617597527472,5
2026-06-18T10:43:29.998509,12.855,77.7,13308.002738095236,2.5,1.158666666666667,8.86569264069264,0,0.9019441946969696,5
2026-06-18T10:43:29.998509,12.86,77.525,21480.44295833334,1.33,1.4694999999999998,8.39234593837534,0,1.1927436669012605,5
2026-06-18T10:43:29.998509,12.86,77.53,21480.44295833334,1.34,1.4855,7.170077030812321,0.1667,1.1926355996743698,5
2026-06-18T10:43:29.998509,12.86,77.58500000000001,26106.390876984122,1.76,0.8578333333333336,6.405714285714286,0,1.1504498215476189,5
2026-06-18T10:43:29.998509,12.86,77.59,24392.39697321428,1.72,0.6346666666666666,6.2457142857142856,0.1176,1.0730366711011903,5
2026-06-18T10:43:29.998509,12.86,77.61,30288.748914682517,1.27,1.20125,7.664285714285715,0,1.3813810388690468,5
2026-06-18T10:43:29.998509,12.86,77.645,24999.094754960308,2.98,1.9135833333333334,6.595076923076923,0,1.3365018170077836,5
2026-06-18T10:43:29.998509,12.86,77.655,12327.776607142856,3.41,1.4526666666666666,8.862873873873873,0,0.9330728477638351,5
2026-06-18T10:43:29.998509,12.86,77.66,12327.776607142856,3.03,1.462,10.069809523809525,0,0.9703875839285714,5
2026-06-18T10:43:29.998509,12.86,77.67,12327.776607142856,2.84,1.5419999999999998,9.860983349983348,0,0.9797427987137861,5
2026-06-18T10:43:29.998509,12.86,77.705,13308.002738095236,1.43,1.3005000000000002,8.419025974025974,0,0.9147708613636363,5
2026-06-18T10:43:29.998509,12.865,77.53,21480.44295833334,1.27,1.5194999999999999,7.983309523809523,0.2812,1.2465925744642858,5
2026-06-18T10:43:29.998509,12.865,77.535,21480.44295833334,1.09,2.0047499999999996,8.160666666666668,0.1667,1.32570328875,5
2026-06-18T10:43:29.998509,12.865,77.565,21480.44295833334,1.45,1.6574166666666665,6.5086666666666675,0,1.1740566220833335,5
2026-06-18T10:43:29.998509,12.865,77.575,26106.390876984122,1.38,1.6938,7.273333333333333,0.1176,1.3664317263095236,5
2026-06-18T10:43:29.998509,12.865,77.58,26106.390876984122,1.42,1.8281499999999997,7.56,0.1176,1.4019817263095233,5
2026-06-18T10:43:29.998509,12.865,77.59,24392.39697321428,1.6,0.6346666666666666,6.24,0.1176,1.0726252425297615,5
2026-06-18T10:43:29.998509,12.865,77.65,12327.776607142856,2.41,1.4083333333333332,10.32,0.1923,1.0043799648809524,5
2026-06-18T10:43:29.998509,12.865,77.655,12327.776607142856,2.63,1.3646666666666667,8.543333333333333,0,0.9043266315476189,5
2026-06-18T10:43:29.998509,12.865,77.66,12327.776607142856,2.37,1.3689999999999998,9.235809523809525,0.2045,0.9663475839285713,5
2026-06-18T10:43:29.998509,12.870000000000001,77.535,21480.44295833334,1.19,1.5119999999999998,6.649333333333334,0.2581,1.2002932887500002,5
2026-06-18T10:43:29.998509,12.870000000000001,77.54,21480.44295833334,1.19,1.4500000000000002,6.8547619047619035,0.1667,1.1757761458928573,5
2026-06-18T10:43:29.998509,12.870000000000001,77.56,21480.44295833334,1.67,1.2578333333333336,6.833955703211517,0.1667,1.1376786265130123,5
2026-06-18T10:43:29.998509,12.870000000000001,77.565,21480.44295833334,1.53,1.3311666666666668,6.588666666666668,0,1.1113666220833334,5
2026-06-18T10:43:29.998509,12.870000000000001,77.57000000000001,26106.390876984122,1.42,1.4621666666666666,6.911545454545454,0,1.2858114232792206,5
2026-06-18T10:43:29.998509,12.870000000000001,77.58,26106.390876984122,1.55,1.65365,7.161666666666666,0,1.3318717263095237,5
2026-06-18T10:43:29.998509,12.870000000000001,77.59,24392.39697321428,1.8,0.6371666666666667,6.242030303030304,0.2174,1.0935461516206708,5
2026-06-18T10:43:29.998509,12.870000000000001,77.595,24392.39697321428,6.51,0.6469999999999999,6.179108726639215,0.1176,1.0830851709956046,5
2026-06-18T10:43:29.998509,12.870000000000001,77.60000000000001,30288.748914682517,4.2,0.7021666666666668,6.822800324675325,0,1.2621798105140685,5
2026-06-18T10:43:29.998509,12.870000000000001,77.615,30315.102192460294,1.28,1.3075,7.0151098901098905,0,1.3839663624771052,5
2026-06-18T10:43:29.998509,12.870000000000001,77.64,24999.094754960308,1.96,2.3152500000000003,6.276835766972753,0,1.405247915657992,5
2026-06-18T10:43:29.998509,12.870000000000001,77.645,24999.094754960308,3.85,2.3694166666666665,6.24,0,1.4187561759821425,5
2026-06-18T10:43:29.998509,12.870000000000001,77.65,12327.776607142856,7.83,1.5376666666666667,10.765613278319584,0.0769,1.0313750298972064,5
2026-06-18T10:43:29.998509,12.870000000000001,77.655,12327.776607142856,7.29,1.5758333333333332,9.695666666666668,0.1923,1.028909964880952,5
2026-06-18T10:43:29.998509,12.870000000000001,77.665,12327.776607142856,3.69,1.6186666666666663,11.07594871794872,0.1923,1.0716850930860804,5
2026-06-18T10:43:29.998509,12.875,77.44500000000001,21480.44295833334,1.56,1.4415,6.504095022624434,0,1.1309561394287333,5
2026-06-18T10:43:29.998509,12.875,77.515,21480.44295833334,1.58,1.3430000000000002,6.71120588235294,0,1.1175094652205884,5
2026-06-18T10:43:29.998509,12.875,77.525,21480.44295833334,1.56,1.4155000000000002,7.03721988795518,0.2258,1.1869098853886557,5
2026-06-18T10:43:29.998509,12.875,77.53,21480.44295833334,1.52,1.4184999999999999,6.9332142857142856,0,1.139149717321429,5
2026-06-18T10:43:29.998509,12.875,77.535,21480.44295833334,1.51,1.287,6.6066666666666665,0,1.10303328875,5
2026-06-18T10:43:29.998509,12.875,77.54,21480.44295833334,1.67,1.2350000000000003,6.650095238095238,0,1.0942561458928575,5
2026-06-18T10:43:29.998509,12.875,77.545,21480.44295833334,1.64,1.1912500000000001,7.766666666666667,0.1667,1.15228328875,5
2026-06-18T10:43:29.998509,12.875,77.555,21480.44295833334,1.47,1.2488333333333335,7.165333333333334,0.1667,1.1454199554166669,5
2026-06-18T10:43:29.998509,12.875,77.59,24392.39697321428,2.37,0.6271666666666667,6.242995670995671,0.1471,1.0786551126596318,5
2026-06-18T10:43:29.998509,12.875,77.595,24392.39697321428,7.19,0.6369999999999999,6.016892276422765,0.1176,1.0775786774891112,5
2026-06-18T10:43:29.998509,12.875,77.60000000000001,30288.748914682517,4.48,0.6795000000000002,6.772839285714286,0.1176,1.280227646011904,5
2026-06-18T10:43:29.998509,12.875,77.605,30288.748914682517,1.74,1.2483333333333333,7.003233766233765,0.1538,1.402666147094155,5
2026-06-18T10:43:29.998509,12.875,77.61,30288.748914682517,1.24,1.23725,7.743584415584415,0,1.390899999908008,5
2026-06-18T10:43:29.998509,12.875,77.615,30315.102192460294,1.24,1.159,6.850122877122877,0,1.349236752087495,5
2026-06-18T10:43:29.998509,12.875,77.62,30315.102192460294,1.2,1.1915,8.379395604395604,0,1.4015349339056766,5
2026-06-18T10:43:29.998509,12.875,77.625,25002.698900793643,1.17,1.1915,8.45558608058608,0,1.2443885494413918,5
2026-06-18T10:43:29.998509,12.875,77.635,24999.094754960308,1.99,2.3858333333333333,6.006098901098901,0,1.411302476348443,5
2026-06-18T10:43:29.998509,12.875,77.64,24999.094754960308,2.32,2.431083333333333,6.012197802197802,0.0741,1.4360154433814099,5
2026-06-18T10:43:29.998509,12.875,77.645,24999.094754960308,5.45,2.22025,6.002777777777778,0.1556,1.4161261759821426,5
2026-06-18T10:43:29.998509,12.875,77.65,12327.776607142856,5.51,1.7320000000000002,9.610126420494012,0,1.015557090829106,5
2026-06-18T10:43:29.998509,12.875,77.665,12327.776607142856,3.61,1.6251666666666664,10.276541310541312,0.1852,1.0474228708638582,5
2026-06-18T10:43:29.998509,12.875,77.67,12327.776607142856,4.19,1.612166666666667,10.791185370185369,0.1923,1.06284219265318,5
2026-06-18T10:43:29.998509,12.875,77.735,13308.002738095236,1.1,1.5906666666666665,18.964999999999996,0,1.2885234154761902,5
2026-06-18T10:43:29.998509,12.88,77.5,21480.44295833334,1.43,1.3189999999999997,9.276680672268906,0,1.1893737089180674,5
2026-06-18T10:43:29.998509,12.88,77.54,21480.44295833334,1.34,1.1555000000000002,6.656190476190477,0,1.0778790030357146,5
2026-06-18T10:43:29.998509,12.88,77.545,21480.44295833334,1.34,1.1117500000000002,7.792499999999999,0,1.1032182887500002,5
2026-06-18T10:43:29.998509,12.88,77.55,21480.44295833334,1.19,1.1833333333333336,8.246666666666668,0.1667,1.1641999554166669,5
2026-06-18T10:43:29.998509,12.88,77.595,24392.39697321428,1.94,0.8043333333333332,6.038035476718404,0.1471,1.107079640164647,5
2026-06-18T10:43:29.998509,12.88,77.60000000000001,30288.748914682517,3.37,0.7751666666666667,6.867066518847006,0,1.276447796339219,5
2026-06-18T10:43:29.998509,12.88,77.605,30288.748914682517,1.58,1.2553333333333334,7.242051282051282,0,1.3801506725686805,5
2026-06-18T10:43:29.998509,12.88,77.61,30288.748914682517,1.34,1.3387500000000003,9.663241758241758,0,1.4689897201877282,5
2026-06-18T10:43:29.998509,12.88,77.63,24999.094754960308,4.78,1.8009166666666667,6.069664370112647,0,1.301806107085522,5
2026-06-18T10:43:29.998509,12.88,77.635,24999.094754960308,2.09,2.5099166666666664,6.006868131868132,0,1.4363422199381863,5
2026-06-18T10:43:29.998509,12.88,77.64,24999.094754960308,2.5,2.551,6.008021978021978,0,1.4454135019894685,5
2026-06-18T10:43:29.998509,12.88,77.645,24999.094754960308,2.25,2.2460000000000004,6.0,0,1.3836728426488092,5
2026-06-18T10:43:29.998509,12.88,77.65,12327.776607142856,4.24,1.8674999999999997,8.668441753295467,0,1.0118665508131497,5
2026-06-18T10:43:29.998509,12.88,77.655,12327.776607142856,3.62,1.8741666666666665,7.980619047619047,0,0.9913252029761904,5
